episode,alpha=0.0005,alpha=0.001,alpha=0.0001
1,-362.710274,-362.710274,-362.710274
2,-411.518037,-411.518037,-411.518037
3,-408.5969,-408.5969,-408.5969
4,-383.424723,-383.424723,-383.424723
5,-339.165066,-339.165066,-339.165066
6,-308.419847,-308.419847,-308.419847
7,-290.086568,-290.086568,-290.086568
8,-269.308396,-269.308396,-269.308396
9,-258.380088,-258.380088,-258.380088
10,-250.791669,-250.791669,-250.791669
11,-246.552891,-247.150509,-246.552891
12,-262.660451,-247.748801,-263.732005
13,-263.709277,-248.028038,-259.841409
14,-254.369165,-239.109716,-269.719169
15,-245.960304,-237.667336,-289.424211
16,-249.135565,-228.467401,-291.605907
17,-241.817956,-224.392118,-293.814653
18,-237.106379,-220.659509,-279.046754
19,-235.053585,-216.690295,-281.720182
20,-230.923033,-202.530198,-276.548568
21,-226.91203,-199.799788,-274.368182
22,-222.424618,-199.699653,-268.303228
23,-218.772011,-196.969273,-268.642996
24,-219.838985,-193.750899,-263.241723
25,-219.353183,-191.099874,-265.829141
26,-215.042563,-186.680835,-261.734095
27,-209.879166,-185.05785,-258.09631
28,-207.041039,-185.745445,-253.241729
29,-206.054069,-183.77345,-250.359023
30,-205.074722,-182.492102,-245.868816
31,-203.506672,-178.151397,-241.970802
32,-200.684717,-175.327164,-245.555764
33,-193.990301,-172.823767,-245.05359
34,-186.741727,-171.468257,-241.718689
35,-183.53985,-169.006061,-238.35433
36,-177.361057,-166.950731,-239.174268
37,-175.016924,-168.595838,-237.534926
38,-171.252156,-164.33662,-235.231835
39,-168.653733,-163.92512,-235.29106
40,-166.498352,-163.73977,-236.690073
41,-162.706184,-161.999654,-236.769278
42,-160.064805,-158.855924,-242.041086
43,-157.998103,-158.398426,-239.576286
44,-157.519403,-156.582274,-237.97465
45,-153.575229,-154.279056,-235.758098
46,-153.651773,-153.214744,-230.602179
47,-152.688482,-152.171437,-226.716172
48,-153.376045,-151.424999,-226.661596
49,-150.833553,-150.497009,-223.729123
50,-148.296647,-147.630112,-222.291688
51,-147.035759,-146.354582,-220.433868
52,-147.017125,-140.135577,-218.956642
53,-145.919273,-137.730894,-216.611476
54,-144.854902,-137.868323,-213.97262
55,-144.292586,-136.011103,-211.007371
56,-142.559311,-133.751463,-209.023142
57,-142.828644,-132.967647,-206.883853
58,-142.401675,-133.86064,-204.525385
59,-142.528971,-133.006456,-203.211233
60,-142.478515,-134.213018,-201.257749
61,-142.159798,-135.303864,-199.138986
62,-142.569963,-133.42604,-196.934958
63,-142.178766,-134.095698,-195.606768
64,-141.552868,-134.858526,-193.333931
65,-138.687609,-134.259699,-191.08015
66,-134.648251,-134.352334,-189.125725
67,-133.365581,-134.036034,-187.711107
68,-133.741952,-134.342961,-186.19503
69,-133.944768,-131.879021,-186.19279
70,-132.937033,-131.156888,-185.20392
71,-133.854837,-129.783087,-184.688967
72,-134.25507,-128.44019,-183.808117
73,-133.87918,-127.982941,-182.837834
74,-134.164752,-127.234321,-182.615757
75,-134.627627,-126.374619,-181.254837
76,-135.144847,-125.438488,-177.741916
77,-135.321376,-124.562478,-176.266826
78,-134.615976,-121.933063,-175.223411
79,-134.78744,-120.922262,-171.588881
80,-130.651984,-120.454142,-167.483898
81,-127.28058,-118.964905,-166.428532
82,-124.748332,-116.386013,-164.568125
83,-120.855195,-115.731228,-163.186268
84,-117.782728,-114.952414,-163.492625
85,-118.593546,-114.131768,-162.899703
86,-117.979984,-113.417146,-162.853415
87,-117.473016,-112.812053,-162.124838
88,-118.350734,-110.270822,-161.480397
89,-115.889715,-106.505687,-161.089535
90,-116.308586,-103.726991,-159.326458
91,-115.509049,-103.291922,-158.879449
92,-117.265582,-102.931281,-155.270326
93,-117.916123,-100.037255,-154.38746
94,-118.396025,-100.342296,-153.948844
95,-117.099252,-97.370347,-150.344228
96,-114.680968,-96.849998,-150.21826
97,-114.284851,-96.542134,-149.535558
98,-111.553901,-94.070322,-149.274279
99,-110.94649,-93.574926,-148.41008
100,-110.462533,-91.396982,-148.109886
101,-107.084529,-89.281934,-147.353253
102,-101.463953,-84.096918,-144.623178
103,-97.885233,-77.313169,-138.196041
104,-92.692748,-71.287249,-135.565632
105,-90.323833,-66.022907,-133.206043
106,-86.702249,-62.619752,-129.639325
107,-86.438412,-58.942289,-129.156726
108,-85.753665,-54.768635,-125.503241
109,-83.710158,-51.642291,-123.646692
110,-81.242685,-48.464733,-122.974546
111,-78.205783,-44.553864,-120.364381
112,-76.335583,-40.876659,-119.287586
113,-72.503939,-36.074069,-115.449011
114,-68.770175,-31.545014,-114.366961
115,-66.361237,-28.173864,-110.411849
116,-62.565277,-24.047848,-103.029258
117,-59.264138,-22.231251,-100.613753
118,-56.407023,-20.082217,-97.995072
119,-52.901533,-16.364757,-95.629677
120,-50.661015,-12.832329,-90.512338
121,-48.008407,-14.488962,-89.152185
122,-45.104068,-13.392544,-87.570594
123,-42.503276,-9.931862,-86.819735
124,-39.603425,-6.390817,-84.824586
