episode,epsilon=1.0,epsilon=0.8,epsilon=0.5
1,-362.710274,-377.004169,-466.675898
2,-411.518037,-280.521906,-416.117192
3,-408.5969,-257.498756,-421.623224
4,-383.424723,-220.263282,-445.329621
5,-339.165066,-224.795377,-452.102786
6,-308.419847,-237.970999,-416.771401
7,-290.086568,-287.059852,-440.545965
8,-269.308396,-281.505069,-422.295915
9,-258.380088,-268.359327,-488.473316
10,-250.791669,-272.504976,-469.762028
11,-246.552891,-283.565209,-443.622177
12,-262.660451,-278.806595,-419.278017
13,-263.709277,-260.699216,-408.332669
14,-254.369165,-240.872972,-393.428764
15,-245.960304,-226.198003,-372.167687
16,-249.135565,-220.687094,-354.869677
17,-241.817956,-213.087845,-348.327394
18,-237.106379,-211.618544,-338.095107
19,-235.053585,-207.45488,-318.581636
20,-230.923033,-200.736975,-319.090961
21,-226.91203,-196.693974,-302.750454
22,-222.424618,-198.246581,-301.599602
23,-218.772011,-195.2249,-294.539233
24,-219.838985,-191.394061,-287.085378
25,-219.353183,-188.195847,-281.189257
26,-215.042563,-179.464661,-268.178916
27,-209.879166,-178.799405,-263.282866
28,-207.041039,-183.31762,-258.94329
29,-206.054069,-178.243088,-253.232586
30,-205.074722,-174.201676,-248.210611
31,-203.506672,-170.903653,-243.844096
32,-200.684717,-173.008361,-238.086922
33,-193.990301,-174.029599,-235.200235
34,-186.741727,-169.05721,-231.454797
35,-183.53985,-171.20974,-229.157883
36,-177.361057,-172.013615,-226.75539
37,-175.016924,-173.542542,-224.040406
38,-171.252156,-173.722038,-221.227677
39,-168.653733,-177.164458,-217.705926
40,-166.498352,-178.300925,-216.001039
41,-162.706184,-176.757514,-212.647925
42,-160.064805,-179.38123,-210.083749
43,-157.998103,-178.165077,-208.286947
44,-157.519403,-181.235428,-205.332334
45,-153.575229,-179.857865,-203.260725
46,-153.651773,-182.38762,-201.391494
47,-152.688482,-180.039501,-198.808353
48,-153.376045,-175.407734,-196.706885
49,-150.833553,-174.423984,-194.31563
50,-148.296647,-172.226163,-190.614892
51,-147.035759,-170.324471,-187.673169
52,-147.017125,-167.495797,-184.136989
53,-145.919273,-166.147235,-183.957654
54,-144.854902,-164.675882,-181.871048
55,-144.292586,-161.319754,-180.418358
56,-142.559311,-158.920039,-178.819506
57,-142.828644,-157.383934,-171.353904
58,-142.401675,-155.121609,-169.106628
59,-142.528971,-153.35821,-167.024215
60,-142.478515,-149.604456,-165.131609
61,-142.159798,-148.940445,-160.544111
62,-142.569963,-147.566215,-159.144788
63,-142.178766,-146.645232,-155.471241
64,-141.552868,-145.819775,-152.838594
65,-138.687609,-144.978298,-150.637401
66,-134.648251,-143.935141,-148.672002
67,-133.365581,-141.551391,-146.361569
68,-133.741952,-139.944596,-145.095864
69,-133.944768,-135.037854,-143.415411
70,-132.937033,-133.578846,-141.603673
71,-133.854837,-132.171988,-136.13697
72,-134.25507,-130.073268,-134.854894
73,-133.87918,-125.927213,-129.84707
74,-134.164752,-121.258325,-130.331348
75,-134.627627,-117.333028,-128.820888
76,-135.144847,-113.654173,-129.153026
77,-135.321376,-111.811782,-126.129399
78,-134.615976,-110.548398,-121.251567
79,-134.78744,-107.675904,-117.732329
80,-130.651984,-103.682315,-114.012454
81,-127.28058,-101.017505,-112.415113
82,-124.748332,-98.000427,-108.954243
83,-120.855195,-94.390505,-107.952145
84,-117.782728,-93.831748,-107.011157
85,-118.593546,-90.75385,-104.304315
86,-117.979984,-89.344627,-101.411882
87,-117.473016,-89.856622,-98.531272
88,-118.350734,-89.591895,-96.10245
89,-115.889715,-87.21042,-95.074427
90,-116.308586,-84.425312,-92.676439
91,-115.509049,-84.407427,-91.433113
92,-117.265582,-85.285847,-88.203188
93,-117.916123,-83.0739,-85.061515
94,-118.396025,-80.939748,-82.253559
95,-117.099252,-79.20066,-81.277714
96,-114.680968,-77.027975,-78.19705
97,-114.284851,-76.282716,-75.801946
98,-111.553901,-74.188597,-75.60267
99,-110.94649,-74.631582,-72.60815
100,-110.462533,-74.783375,-72.635477
101,-107.084529,-76.438801,-72.234633
102,-101.463953,-73.93988,-68.498285
103,-97.885233,-70.253872,-65.094151
104,-92.692748,-66.596632,-58.61365
105,-90.323833,-67.264006,-52.14864
106,-86.702249,-62.989661,-48.114928
107,-86.438412,-58.998296,-44.181641
108,-85.753665,-52.052142,-38.841194
109,-83.710158,-49.490324,-36.883972
110,-81.242685,-48.771658,-24.855766
111,-78.205783,-44.616353,-20.251705
112,-76.335583,-38.869458,-19.149853
113,-72.503939,-34.455735,-15.944573
114,-68.770175,-35.454849,-11.489192
115,-66.361237,-34.531395,-7.626202
116,-62.565277,-32.556224,-5.013127
117,-59.264138,-29.947412,-2.280663
118,-56.407023,-30.884953,2.027704
119,-52.901533,-29.562685,5.322368
120,-50.661015,-26.782088,6.83729
121,-48.008407,-24.729705,9.488436
122,-45.104068,-21.584071,11.093148
123,-42.503276,-17.44256,13.27272
124,-39.603425,-13.957842,14.322932
125,-38.310822,-11.516687,17.423131
126,-34.227162,-8.607933,20.163534
127,-31.675199,-6.959128,19.530713
128,-28.982107,-6.481131,20.028047
129,-25.811296,-1.201221,23.420908
130,-22.215817,1.091624,26.269252
131,-18.440692,3.484168,29.442079
132,-15.202052,3.526289,29.980693
133,-13.152724,7.350081,31.824184
134,-11.711295,11.372125,33.11063
135,-11.021999,13.323906,33.635278
136,-8.507716,18.110851,34.654847
137,-7.135762,19.292715,37.488397
138,-4.281985,23.282419,40.539549
139,-2.535921,27.113802,43.741176
140,0.189624,31.656991,46.891823
141,2.599151,35.501062,48.058111
142,4.515091,38.076238,50.042097
143,7.003124,42.624681,50.516444
144,9.366207,45.771127,51.666998
145,12.355099,50.68938,51.789789
146,14.108128,50.525847,54.638588
147,17.417858,55.062404,55.076163
148,19.963112,56.652221,57.950873
149,23.556764,55.337984,58.836456
150,25.937317,58.487653,59.658721
151,27.435692,58.592448,61.547075
152,29.943002,61.112181,60.76681
153,32.580333,59.766783,60.682401
154,35.585,62.375544,61.86955
155,38.483801,65.289809,61.591822
156,41.854803,66.269702,61.546662
157,44.358601,68.029043,64.237613
158,47.977407,70.229019,63.503315
159,49.758935,68.887444,65.864469
160,52.74029,71.002667,66.048727
161,56.160851,72.430189,65.99201
162,58.325967,74.275165,63.517666
163,61.835262,76.531665,63.315037
