episode,gamma=0.99,gamma=0.8,gamma=0.5
1,-362.710274,-362.710274,-362.710274
2,-411.518037,-411.518037,-411.518037
3,-408.5969,-408.5969,-408.5969
4,-383.424723,-383.424723,-383.424723
5,-339.165066,-339.165066,-339.165066
6,-308.419847,-308.419847,-308.419847
7,-290.086568,-290.086568,-290.086568
8,-269.308396,-269.308396,-269.308396
9,-258.380088,-258.380088,-258.380088
10,-250.791669,-250.791669,-250.791669
11,-246.552891,-246.552891,-246.552891
12,-262.660451,-262.660451,-262.660451
13,-263.709277,-263.709277,-263.709277
14,-254.369165,-254.369165,-254.369165
15,-245.960304,-246.066179,-246.066179
16,-249.135565,-239.72855,-239.648448
17,-241.817956,-238.180769,-240.636677
18,-237.106379,-232.353223,-238.353212
19,-235.053585,-223.557501,-238.916281
20,-230.923033,-218.663157,-232.292405
21,-226.91203,-215.148273,-230.927565
22,-222.424618,-211.45369,-226.383606
23,-218.772011,-203.468156,-220.618688
24,-219.838985,-206.480075,-224.986866
25,-219.353183,-202.181227,-221.561873
26,-215.042563,-202.989384,-218.148258
27,-209.879166,-199.955858,-216.967865
28,-207.041039,-200.489262,-219.36496
29,-206.054069,-199.534392,-216.339422
30,-205.074722,-197.40197,-214.49846
31,-203.506672,-195.221292,-214.623393
32,-200.684717,-194.944822,-209.873309
33,-193.990301,-193.117034,-208.964699
34,-186.741727,-188.568223,-205.599643
35,-183.53985,-185.849423,-200.875725
36,-177.361057,-187.800857,-199.527272
37,-175.016924,-188.135723,-204.162466
38,-171.252156,-184.008799,-199.640583
39,-168.653733,-181.087154,-197.295348
40,-166.498352,-179.34553,-194.180735
41,-162.706184,-175.543754,-191.094881
42,-160.064805,-172.704623,-190.578693
43,-157.998103,-169.048495,-190.871338
44,-157.519403,-167.284625,-188.821104
45,-153.575229,-163.302687,-186.661462
46,-153.651773,-161.650912,-185.969635
47,-152.688482,-159.922136,-179.090886
48,-153.376045,-171.081793,-181.881827
49,-150.833553,-168.96403,-179.731828
50,-148.296647,-171.077028,-177.843636
51,-147.035759,-170.611987,-172.687423
52,-147.017125,-167.064891,-171.035835
53,-145.919273,-166.494292,-166.173188
54,-144.854902,-166.410324,-167.605325
55,-144.292586,-162.037765,-165.930564
56,-142.559311,-157.94555,-164.36906
57,-142.828644,-161.346186,-163.780959
58,-142.401675,-161.09989,-161.733982
59,-142.528971,-157.271527,-163.397046
60,-142.478515,-157.065752,-164.481335
61,-142.159798,-155.679969,-165.33278
62,-142.569963,-149.649826,-161.435334
63,-142.178766,-148.820605,-162.727222
64,-141.552868,-145.866534,-163.718318
65,-138.687609,-143.661164,-163.418585
66,-134.648251,-143.447051,-164.566429
67,-133.365581,-143.126438,-167.112553
68,-133.741952,-142.826923,-164.753268
69,-133.944768,-142.953166,-166.595644
70,-132.937033,-144.795792,-167.536582
71,-133.854837,-143.655694,-169.052557
72,-134.25507,-143.561797,-167.587644
73,-133.87918,-142.236947,-168.499276
74,-134.164752,-142.307311,-170.656598
75,-134.627627,-138.121985,-170.951954
76,-135.144847,-138.898391,-171.584048
77,-135.321376,-138.123956,-170.684494
78,-134.615976,-139.037255,-171.581138
79,-134.78744,-139.538186,-166.781636
80,-130.651984,-138.471552,-162.255762
81,-127.28058,-137.138036,-163.490186
82,-124.748332,-133.301291,-159.391346
83,-120.855195,-132.93716,-155.326186
84,-117.782728,-133.194849,-151.699304
85,-118.593546,-132.287374,-147.890278
86,-117.979984,-132.529541,-147.457957
87,-117.473016,-128.803842,-148.14638
88,-118.350734,-129.715486,-144.760582
89,-115.889715,-131.115996,-143.644943
90,-116.308586,-131.543128,-143.125745
91,-115.509049,-131.783892,-139.649316
92,-117.265582,-129.43435,-141.066155
93,-117.916123,-129.772404,-142.454247
94,-118.396025,-129.833594,-139.49255
95,-117.099252,-129.169875,-140.871342
96,-114.680968,-129.410745,-140.429558
97,-114.284851,-130.33534,-141.672663
98,-111.553901,-130.346518,-140.401167
99,-110.94649,-130.554794,-141.506683
100,-110.462533,-130.87827,-142.675375
101,-107.084529,-130.658683,-143.684085
102,-101.463953,-128.474319,-142.671913
103,-97.885233,-124.957033,-136.334429
104,-92.692748,-122.465533,-134.91617
105,-90.323833,-120.681988,-129.765442
106,-86.702249,-120.450117,-128.871463
107,-86.438412,-120.431169,-125.560515
108,-85.753665,-120.194853,-122.084052
109,-83.710158,-120.041902,-122.43248
110,-81.242685,-119.568301,-123.197262
111,-78.205783,-118.978099,-119.764163
112,-76.335583,-118.225736,-118.46641
113,-72.503939,-115.137485,-116.847007
114,-68.770175,-112.749164,-116.468948
115,-66.361237,-112.711919,-113.124154
116,-62.565277,-112.801154,-112.504868
117,-59.264138,-113.834845,-113.241497
118,-56.407023,-113.323339,-111.514309
119,-52.901533,-113.338383,-112.695508
120,-50.661015,-114.176465,-108.275378
121,-48.008407,-114.471672,-105.652745
122,-45.104068,-114.308191,-105.885774
123,-42.503276,-114.092509,-105.518001
124,-39.603425,-116.020782,-105.541712
