episodeidx,reward,rewardlow,rewardavg,rewardhigh,loss,steps
1,-362.710274,-362.710274,-362.710274,-362.710274,0.000000,0
2,-460.325801,-460.325801,-411.518037,-362.710274,0.000000,1
3,-402.754625,-448.661822,-408.596900,-368.531978,0.000000,2
4,-307.908191,-439.145580,-383.424723,-327.703865,0.000000,3
5,-162.126438,-440.750105,-339.165066,-237.580027,0.000000,4
6,-154.693755,-423.857893,-308.419847,-192.981802,0.000000,5
7,-180.086890,-406.012799,-290.086568,-174.160336,0.000000,6
8,-123.861193,-390.886177,-269.308396,-147.730615,0.000000,7
9,-170.953622,-377.099207,-258.380088,-139.660968,0.000000,8
10,-182.495901,-365.696252,-250.791669,-135.887085,16.296180,9
11,-204.165107,-356.927060,-246.552891,-136.178721,69.944434,10
12,-439.843615,-381.071772,-262.660451,-144.249130,46.761208,11
13,-276.295188,-377.533195,-263.709277,-149.885359,77.576817,12
14,-132.947707,-369.106056,-254.369165,-139.632274,37.770277,13
15,-130.711023,-361.183440,-246.125289,-131.067138,54.040102,14
16,-144.664122,-353.863609,-239.783966,-125.704322,31.553691,15
17,-217.050430,-349.249400,-238.446699,-127.643998,39.997200,16
18,-188.762292,-343.967070,-235.686454,-127.405838,106.781563,17
19,-123.921092,-338.111257,-229.804067,-121.496876,41.386672,18
20,-186.146338,-333.613916,-227.621180,-121.628445,37.517960,19
21,-132.921114,-328.497622,-223.111653,-117.725685,55.666827,20
22,-208.265766,-325.446247,-222.436840,-119.427434,41.879755,21
23,-185.888733,-321.868306,-220.847792,-119.827278,42.417188,22
24,-135.279529,-317.643290,-217.282448,-116.921606,29.728492,23
25,-170.790059,-314.177043,-215.422752,-116.668462,57.416215,24
26,-98.286800,-310.339575,-210.917523,-111.495471,52.870528,25
27,-184.998144,-307.643795,-209.957546,-112.271297,50.003768,26
28,-173.732663,-304.825061,-208.663800,-112.502540,117.070413,27
29,-118.375469,-301.464621,-205.550410,-109.636198,40.401719,28
30,-134.771010,-298.345230,-203.191096,-108.036962,41.784189,29
31,-68.199939,-295.434156,-198.836543,-102.238930,48.696932,30
32,-111.747983,-292.391234,-196.115025,-99.838817,56.390993,31
33,-154.092706,-289.921147,-194.841622,-99.762097,81.565214,32
34,-143.427599,-287.402239,-193.329445,-99.256650,103.469721,33
35,45.414933,-287.398474,-186.508177,-85.617879,309.462278,34
36,-67.659702,-284.585168,-183.206830,-81.828493,52.509076,35
37,-68.824599,-281.820094,-180.115419,-78.410743,47.349565,36
38,-63.572840,-279.125216,-177.048509,-74.971801,36.230453,37
39,-234.221215,-279.678441,-178.514475,-77.350510,245.241378,38
40,-82.236903,-277.123550,-176.107536,-75.091522,171.324684,39
41,-149.153963,-275.313231,-175.450132,-75.587033,287.645250,40
42,-147.825722,-273.549339,-174.792408,-76.035477,275.970452,41
43,-219.537824,-273.667542,-175.832999,-77.998455,53.554875,42
44,-166.375553,-272.344724,-175.618057,-78.891390,266.856539,43
45,2.992245,-270.852303,-171.648939,-72.445575,84.927933,44
46,-69.477278,-268.671800,-169.427816,-70.183832,251.097479,45
47,-122.292142,-266.842780,-168.424929,-70.007079,261.466298,46
48,4.311501,-265.289939,-164.826254,-64.362568,60.717781,47
49,-134.050707,-263.726611,-164.198181,-64.669752,255.438654,48
50,-86.525682,-261.771101,-162.644731,-63.518361,255.474188,49
51,-107.603518,-260.011455,-161.565492,-63.119529,201.003966,50
52,-17.720266,-258.275320,-158.799238,-59.323155,54.387404,51
53,-124.862685,-256.800213,-158.158925,-59.517638,246.337653,52
54,-141.864714,-255.605542,-157.857181,-60.108819,238.161248,53
55,-97.266264,-253.948923,-156.755528,-59.562132,246.487138,54
56,-133.923594,-252.716950,-156.347814,-59.978679,227.133535,55
57,-144.373244,-251.670722,-156.137734,-60.604747,221.509226,56
58,-124.635175,-250.389169,-155.594587,-60.800004,214.757010,57
59,-107.468609,-248.971770,-154.778892,-60.586014,229.915721,58
60,-130.997028,-247.836772,-154.382528,-60.928283,209.090537,59
61,-344.222869,-253.263366,-157.494665,-61.725963,181.632174,60
62,-216.412735,-253.727697,-158.444956,-63.162215,177.712892,61
63,-176.215414,-253.276621,-158.727027,-64.177432,204.412610,62
64,121.593728,-254.389845,-154.347015,-54.304185,183.445028,63
65,-230.006711,-255.217091,-155.511010,-55.804930,128.480075,64
66,-190.389752,-255.079012,-156.039476,-56.999940,184.486718,65
67,-312.448093,-258.484416,-158.373933,-58.263450,200.355774,66
68,-156.218638,-257.714226,-158.342238,-58.970249,66.020433,67
69,-178.433302,-257.311902,-158.633412,-59.954922,77.121760,68
70,-298.427077,-259.996078,-160.630465,-61.264852,162.224742,69
71,-95.767772,-258.675900,-159.716906,-60.757911,193.942221,70
72,-117.193116,-257.521605,-159.126297,-60.730990,180.952573,71
73,-225.163423,-258.050972,-160.030916,-62.010860,157.549749,72
74,-142.642275,-257.172139,-159.795934,-62.419729,179.461258,73
75,-87.974629,-255.913325,-158.838317,-61.763308,200.194462,74
76,-71.072792,-254.634948,-157.683507,-60.732066,193.394066,75
77,-73.884467,-253.381175,-156.595208,-59.809241,197.765399,76
78,-65.087011,-252.135036,-155.422026,-58.709015,175.207896,77
79,-52.235992,-250.904713,-154.115874,-57.327034,166.647290,78
80,-101.894485,-249.819947,-153.463106,-57.106265,168.734019,79
81,-45.628608,-248.629496,-152.131816,-55.634136,173.907700,80
82,-71.070411,-247.462523,-151.143262,-54.824001,171.533498,81
83,-62.506393,-246.299775,-150.075348,-53.850922,163.031120,82
84,-52.684771,-245.147345,-148.915937,-52.684528,156.784863,83
85,-103.998304,-244.173684,-148.387494,-52.601304,149.036942,84
86,-50.910234,-243.053358,-147.254037,-51.454717,163.913552,85
87,-33.302233,-241.962779,-145.944247,-49.925714,151.160057,86
88,-9.269640,-240.955358,-144.391126,-47.826894,137.352834,87
89,-19.954074,-239.904817,-142.992957,-46.081097,132.895722,88
90,-32.940352,-238.830090,-141.770150,-44.710210,147.547683,89
91,-27.258740,-237.772373,-140.511783,-43.251193,137.471593,90
92,-93.034720,-236.851471,-139.995728,-43.139985,21.539830,91
93,-64.510458,-235.831737,-139.184058,-42.536379,132.644083,92
94,-58.346223,-234.813371,-138.324081,-41.834792,131.225974,93
95,-31.820913,-233.796595,-137.202995,-40.609396,144.438528,94
96,-26.105873,-232.794696,-136.045734,-39.296771,117.271072,95
97,-63.586076,-231.825578,-135.298727,-38.771876,127.961178,96
98,-52.201232,-230.846329,-134.450793,-38.055257,141.533648,97
99,-48.436949,-229.874313,-133.581967,-37.289620,134.929403,98
100,-75.941346,-228.986736,-133.005560,-37.024385,126.709864,99
101,-99.314486,-228.235062,-132.671985,-37.108909,121.562706,100
102,-74.759850,-222.737312,-129.820991,-36.904670,135.597882,101
103,-95.422888,-213.102197,-126.208091,-39.313985,129.839528,102
104,-68.761965,-205.454951,-122.901233,-40.347514,118.585701,103
105,-56.196274,-201.118846,-120.409036,-39.699225,134.567692,104
106,-100.045327,-200.420486,-119.794371,-39.168257,111.363141,105
107,-69.779143,-199.654140,-118.953633,-38.253125,124.486496,106
108,-66.109526,-198.459778,-117.825144,-37.190510,99.066183,107
109,-73.213540,-198.076620,-117.323682,-36.570744,108.865338,108
110,-102.254941,-197.230999,-116.643497,-36.055995,103.825748,109
111,-87.387907,-196.069719,-115.701834,-35.333949,104.800184,110
112,-34.244400,-194.296346,-114.019450,-33.742554,104.743861,111
113,-69.683515,-183.834479,-110.354499,-36.874519,112.219021,112
114,-31.655946,-179.919308,-107.932328,-35.945349,104.606988,113
115,-71.005893,-179.354131,-107.319043,-35.283955,104.936647,114
116,-118.118965,-179.199755,-107.194369,-35.188983,109.286866,115
117,-128.478738,-178.973915,-107.034118,-35.094320,102.227360,116
118,-50.144294,-176.689437,-105.381582,-34.073727,95.390196,117
119,-171.003585,-176.329450,-105.205753,-34.082056,69.496570,118
